Time,BTC_total,Fiat_total,MAX,GRS,BTC,VTC,FTC,DGB,XMY,ETH,ZEC,ZCL,XZC,MUSIC,MONA,ZEN,BTG
1513983890,0.0034405361705203   ,50.849,0.06404305,2.11623876,1.866e-05,0.36025591,15.63332471,206.30756787      ,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379         ,0.03924092
1513983954,0.0034362366,50.586,0.06404305,2.11623876,1.866e-05,0.36025591,15.63332471,206.30756787      ,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379         ,0.03924092
1513984526,0.0034276069,50.07 ,0.06404305,2.11623876,1.866e-05,0.36025591,15.63332471,206.30756787      ,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379         ,0.03924092
1513984590,0.0034273962,50.033,0.06404305,2.11623876,1.866e-05,0.36025591,15.63332471,206.30756787      ,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379         ,0.03924092
1513984655,0.0034255602648718   ,49.835,0.06404305,2.11623876,1.866e-05,0.36025591,15.63332471,206.30756787      ,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379         ,0.03924092
1513984719,0.003421561,49.755,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379         ,0.03924092
1513984784,0.003435865861349    ,50.019,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379         ,0.03924092
1513984848,0.0034360559,50.123,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379         ,0.03924092
1513984913,0.0034300866322772   ,50.216,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379         ,0.03924092
1513984977,0.003426279,50.175,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379         ,0.03924092
1513985042,0.0034293049,50.434,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379         ,0.03924092
1513985108,0.0034290447053812   ,50.315,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379         ,0.03924092
1513985173,0.0034365399419035   ,50.402,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379         ,0.03924092
1513985238,0.0034363716,50.357,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379         ,0.03924092
1513985302,0.0034441407999694   ,50.195,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379         ,0.03924092
1513985366,0.0034392513658029   ,49.661,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379         ,0.03924092
1513985430,0.0034486193,49.041,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379         ,0.03924092
1513985495,0.0034322121,48.652,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379         ,0.03924092
1513985559,0.003431207,48.748,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379         ,0.03924092
1513985625,0.0034213854,48.811,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379         ,0.03924092
1513985690,0.0034207946243436   ,48.526,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379         ,0.03924092
1513985755,0.0034143359,48.424,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379         ,0.03924092
1513985820,0.0034177392,48.037,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379         ,0.03924092
1513985885,0.0034144558,48.198,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379         ,0.03924092
1513985953,0.0034138503,48.081,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379         ,0.03924092
1513986019,0.0034159443,47.756,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379         ,0.03924092
1513986087,0.0034072582898564   ,47.106,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379         ,0.03924092
1513986154,0.0033996364,46.854,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379         ,0.03924092
1513986220,0.0033917058,46.552,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379         ,0.03924092
1513986287,0.003389541,46.35 ,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379         ,0.03924092
1513986356,0.0033777275073293   ,45.942,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379         ,0.03924092
1513986429,0.0033753932,45.773,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379         ,0.03924092
1513986502,0.0033515129,45.788,0.06404305,2.12319863,1.866e-05,0.36025591,15.63332471,208.56108905,6.67408921,1.859e-05,0.00896129,0.12743446,0.01256144,0.17891316,0.52089681,0.10059379         ,0.03924092
